location_name,cluster,air_quality_PM2.5,temperature_celsius,air_quality_us-epa-index,uv_index,math_danger_score,gnn_bias,final_danger_score,final_category
'S Gravenjansdijk,2,19.496240615844727,20.0,1.0,3.0,18.200000762939453,-25.800686,0.0,SAFE
'S Gravenjansdijk,2,19.496240615844727,20.0,1.0,3.0,18.200000762939453,-26.03154,0.0,SAFE
'S Gravenjansdyk,2,19.496240615844727,20.0,1.0,3.0,8.449999809265137,-26.07772,0.0,SAFE
'S Gravenstaffel,2,2.4583332538604736,20.0,1.0,3.0,8.789999961853027,-23.64096,0.0,SAFE
'S-Gravenbrakel,4,4.675000190734863,20.0,1.0,3.0,6.329999923706055,-26.378952,0.0,SAFE
-Kingdom,5,11.305853843688965,20.0,1.0,3.0,19.850000381469727,14.831625,34.68162536621094,LOW RISK
Aakip,1,3.0,20.0,1.0,3.0,33.63999938964844,-6.592413,27.04758644104004,LOW RISK
Aba,1,4.300000190734863,20.0,1.0,3.0,4.650000095367432,-22.367363,0.0,SAFE
Abaer,2,4.599999904632568,20.0,1.0,3.0,4.0,-20.643396,0.0,SAFE
Abazu,1,2.0,20.0,1.0,3.0,17.459999084472656,-8.908941,8.551057815551758,SAFE
Abu Dhabi,3,6.333333492279053,20.0,1.0,3.0,75.7300033569336,18.412697,94.1427001953125,EXTREME DANGER
Abu Dhabi,3,6.333333492279053,20.0,1.0,3.0,75.7300033569336,27.696028,100.0,EXTREME DANGER
Abuja,0,56.49156188964844,20.0,1.0,3.0,60.880001068115234,21.870365,82.7503662109375,EXTREME DANGER
Abuja,0,56.49156188964844,20.0,1.0,3.0,60.880001068115234,-8.500341,52.37965965270996,MODERATE RISK
Accra,1,56.49156188964844,20.0,1.0,3.0,18.790000915527344,-10.711892,8.078108787536621,SAFE
Accra,1,56.49156188964844,20.0,1.0,3.0,18.790000915527344,-3.86334,14.926661014556885,SAFE
Achelap,1,49.70354461669922,20.0,1.0,3.0,22.1299991607666,-11.796558,10.333440780639648,SAFE
Addis Ababa,1,49.70354461669922,20.0,1.0,3.0,26.700000762939453,-21.256908,5.443092346191406,SAFE
Addis Ababa,1,49.70354461669922,20.0,1.0,3.0,26.700000762939453,-17.475203,9.224798202514648,SAFE
Addis Abeba,1,16.93157958984375,20.0,1.0,3.0,10.300000190734863,-15.054672,0.0,SAFE
Addis Abeba,1,16.93157958984375,20.0,1.0,3.0,10.300000190734863,-25.348911,0.0,SAFE
Adkip,1,16.93157958984375,20.0,1.0,3.0,10.640000343322754,-13.721388,0.0,SAFE
Aguaray,0,1.7999999523162842,20.0,1.0,3.0,6.039999961853027,-4.6233892,1.4166107177734375,SAFE
Airai,1,26.324913024902344,20.0,1.0,3.0,21.520000457763672,-4.628107,16.89189338684082,SAFE
Airai,1,26.324913024902344,20.0,1.0,3.0,21.520000457763672,-7.8133554,13.706645011901855,SAFE
Algiers,2,26.324913024902344,20.0,1.0,3.0,18.079999923706055,-4.6339192,13.446080684661865,SAFE
Algiers,2,26.324913024902344,20.0,1.0,3.0,18.079999923706055,-26.752346,0.0,SAFE
Amman,5,10.199999809265137,20.0,1.0,3.0,22.6200008392334,6.480937,29.100937843322754,LOW RISK
Amman,5,10.199999809265137,20.0,1.0,3.0,22.6200008392334,-22.085724,0.5342769622802734,SAFE
Amsterdam,2,10.199999809265137,20.0,1.0,3.0,5.0,-25.782131,0.0,SAFE
Amsterdam,2,10.199999809265137,20.0,1.0,3.0,5.0,-26.326664,0.0,SAFE
Andorra La Vella,4,0.5199999809265137,20.0,1.0,3.0,4.679999828338623,-27.096172,0.0,SAFE
Andorra La Vella,4,0.5199999809265137,20.0,1.0,3.0,4.679999828338623,-25.951157,0.0,SAFE
Ankara,4,10.142522811889648,20.0,1.0,3.0,21.770000457763672,-24.353516,0.0,SAFE
Ankara,4,10.142522811889648,20.0,1.0,3.0,21.770000457763672,-7.8079014,13.962099075317383,SAFE
Antananarivo,0,7.1158599853515625,20.0,1.0,3.0,14.710000038146973,-17.053535,0.0,SAFE
Antananarivo,0,7.1158599853515625,20.0,1.0,3.0,14.710000038146973,-13.017038,1.6929616928100586,SAFE
Apia,1,7.1158599853515625,20.0,1.0,3.0,4.909999847412109,-6.0949,0.0,SAFE
Apia,1,7.1158599853515625,20.0,1.0,3.0,4.909999847412109,-17.092142,0.0,SAFE
Ar Riyadh,5,18.44260025024414,20.0,1.0,3.0,63.93000030517578,22.287384,86.2173843383789,EXTREME DANGER
Ashgabat,5,18.44260025024414,20.0,1.0,3.0,22.280000686645508,7.569044,29.849044799804688,LOW RISK
Ashgabat,5,18.44260025024414,20.0,1.0,3.0,22.280000686645508,-21.949738,0.3302631378173828,SAFE
Asmara,5,22.066905975341797,20.0,1.0,3.0,25.149999618530273,6.300618,31.450617790222168,LOW RISK
Asmara,5,22.066905975341797,20.0,1.0,3.0,25.149999618530273,1.394169,26.54416859149933,LOW RISK
Astana,2,22.066905975341797,20.0,1.0,3.0,9.420000076293945,-21.166473,0.0,SAFE
Astana,2,22.066905975341797,20.0,1.0,3.0,9.420000076293945,-25.854534,0.0,SAFE
Asuncion,1,17.015758514404297,20.0,1.0,3.0,4.559999942779541,-25.652294,0.0,SAFE
Asuncion,1,17.015758514404297,20.0,1.0,3.0,4.559999942779541,-25.68209,0.0,SAFE
Athens,2,17.015758514404297,20.0,1.0,3.0,20.440000534057617,-24.218534,0.0,SAFE
Athens,2,17.015758514404297,20.0,1.0,3.0,20.440000534057617,4.5304766,24.97047710418701,LOW RISK
Aurora,0,4.712854862213135,20.0,1.0,3.0,5.0,-7.7889314,0.0,SAFE
Aurora,0,4.712854862213135,20.0,1.0,3.0,5.0,-8.269781,0.0,SAFE
Bafoussam,1,4.712854862213135,20.0,1.0,3.0,8.890000343322754,-15.6434,0.0,SAFE
Baghdad,2,25.729480743408203,20.0,1.0,3.0,28.09000015258789,0.7473889,28.837389051914215,LOW RISK
Baghdad,2,25.729480743408203,20.0,1.0,3.0,28.09000015258789,19.049543,47.139543533325195,MODERATE RISK
Baku,4,25.729480743408203,20.0,1.0,3.0,9.220000267028809,-25.177553,0.0,SAFE
Baku,4,25.729480743408203,20.0,1.0,3.0,9.220000267028809,-3.2330704,5.986929893493652,SAFE
Bali,1,7.035039901733398,20.0,1.0,3.0,26.8799991607666,-0.8157363,26.064262866973877,LOW RISK
Bali,1,7.035039901733398,20.0,1.0,3.0,26.8799991607666,-5.498992,21.381007194519043,LOW RISK
Bamako,5,7.035039901733398,20.0,1.0,3.0,21.020000457763672,21.478262,42.49826240539551,MODERATE RISK
Ban Lom,1,5.578393936157227,20.0,1.0,3.0,18.670000076293945,-8.260965,10.409034729003906,SAFE
Ban Lom,1,5.578393936157227,20.0,1.0,3.0,18.670000076293945,26.957232,45.62723159790039,MODERATE RISK
Bandar Seri Begawan,0,5.578393936157227,20.0,1.0,3.0,28.950000762939453,-6.4629803,22.48702049255371,LOW RISK
Bandar Seri Begawan,0,5.578393936157227,20.0,1.0,3.0,28.950000762939453,10.347544,39.29754447937012,LOW RISK
Bangkok,3,22.299999237060547,20.0,1.0,3.0,52.790000915527344,28.950352,81.74035263061523,EXTREME DANGER
Bangkok,3,22.299999237060547,20.0,1.0,3.0,52.790000915527344,4.913253,57.703253746032715,MODERATE RISK
Bangui,0,19.479015350341797,20.0,1.0,3.0,32.61000061035156,0.515399,33.125399589538574,LOW RISK
Bangui,0,19.479015350341797,20.0,1.0,3.0,32.61000061035156,0.7976028,33.40760338306427,LOW RISK
Banjul,1,19.479015350341797,20.0,1.0,3.0,18.6200008392334,-0.7843157,17.83568513393402,SAFE
Banjul,1,19.479015350341797,20.0,1.0,3.0,18.6200008392334,-1.6224178,16.997583031654358,SAFE
Basseterre,1,19.530902862548828,20.0,1.0,3.0,11.220000267028809,-15.573175,0.0,SAFE
Basseterre,1,19.530902862548828,20.0,1.0,3.0,11.220000267028809,-13.734492,0.0,SAFE
Beijing,3,19.530902862548828,20.0,1.0,3.0,55.790000915527344,0.15830964,55.94831055402756,MODERATE RISK
Beijing,3,19.530902862548828,20.0,1.0,3.0,55.790000915527344,24.170654,79.96065521240234,HIGH RISK
Beijing Shi,3,11.832304000854492,20.0,1.0,3.0,36.41999816894531,28.645187,65.065185546875,HIGH RISK
Beirut,5,11.832304000854492,20.0,1.0,3.0,22.84000015258789,16.5506,39.39060020446777,LOW RISK
Beirut,5,11.832304000854492,20.0,1.0,3.0,22.84000015258789,-10.807243,12.032756805419922,SAFE
Beirut,5,11.832304000854492,20.0,1.0,3.0,22.84000015258789,-20.995758,1.8442420959472656,SAFE
Belgrade,2,4.25,20.0,1.0,3.0,20.31999969482422,-10.616661,9.703338623046875,SAFE
Belgrade,2,4.25,20.0,1.0,3.0,20.31999969482422,-25.660976,0.0,SAFE
Belmopan,1,4.25,20.0,1.0,3.0,5.269999980926514,-14.607962,0.0,SAFE
Belmopan,1,4.25,20.0,1.0,3.0,5.269999980926514,-21.47934,0.0,SAFE
Berlin,4,17.8801212310791,20.0,1.0,3.0,5.03000020980835,-26.437878,0.0,SAFE
Berlin,4,17.8801212310791,20.0,1.0,3.0,5.03000020980835,-21.5228,0.0,SAFE
Bern,2,17.8801212310791,20.0,1.0,3.0,5.0,-25.186893,0.0,SAFE
Bern,2,17.8801212310791,20.0,1.0,3.0,5.0,-26.858213,0.0,SAFE
Bern,2,17.8801212310791,20.0,1.0,3.0,5.0,-26.577953,0.0,SAFE
Bishkek,2,14.245716094970703,20.0,1.0,3.0,21.100000381469727,-13.10729,7.992710113525391,SAFE
