location_name,country,latitude,longitude,temperature_celsius,humidity,wind_kph,uv_index,air_quality_us-epa-index,pressure_mb,abs_latitude,n_obs,temp_amplitude,phase_sin,phase_cos,cluster
'S Gravenjansdijk,Belgium,51.25,3.63,20.834862385321102,64.10091743119266,17.807339449541285,5.036697247706422,1.1192660550458715,1013.8440366972477,51.25,109,10.267741935483873,-0.8660254037844385,-0.5000000000000004,2
'S Gravenjansdijk,Belgium,51.25,3.6333,12.035714285714286,76.64285714285714,17.885714285714286,1.529503105590062,1.763975155279503,1017.9472049689441,51.25,322,16.461290322580645,-0.4999999999999997,-0.8660254037844388,4
'S Gravenjansdyk,Belgium,51.25,3.63,16.341666666666665,67.58333333333333,21.78333333333333,4.333333333333333,1.0,1015.75,51.25,12,0.0,1.2246467991473532e-16,-1.0,2
'S Gravenstaffel,Belgium,50.88,2.98,15.5625,80.5,17.125,4.125,1.0625,1011.375,50.88,16,0.0,0.49999999999999994,-0.8660254037844387,2
'S-Gravenbrakel,Belgium,50.6,4.1333,8.862814070351758,85.15577889447236,16.847236180904524,0.24824120603015074,1.2060301507537687,1013.7688442211055,50.6,199,14.254166666666666,-0.8660254037844385,-0.5000000000000004,4
-Kingdom,火鸡,38.85,34.65,29.7,24.0,18.4,7.0,1.0,1003.0,38.85,1,0.0,-0.4999999999999997,-0.8660254037844388,5
Aakip,Palau,7.3619,134.5122,29.233333333333334,77.0,8.4,8.533333333333333,1.0,1010.3333333333334,7.361900000000001,3,0.0,1.2246467991473532e-16,-1.0,1
Aba,Cameroon,5.6,14.05,20.1,96.5,3.6,0.44999999999999996,1.0,1016.0,5.6,2,0.0,1.2246467991473532e-16,-1.0,1
Abaer,Iceland,65.3,-18.8667,7.279999999999999,80.6,8.28,0.24,1.0,993.8,65.3,5,0.0,1.2246467991473532e-16,-1.0,2
Abazu,Myanmar,17.6167,96.7333,27.066666666666666,86.33333333333333,10.1,2.5,1.0,1007.3333333333334,17.6167,3,0.0,1.2246467991473532e-16,-1.0,1
Abu Dhabi,United Arab Emirates,24.4667,54.3667,30.95383360522023,43.621533442088094,15.0278955954323,6.781402936378466,3.0,1010.6378466557912,24.4667,613,19.065362242199893,-0.8660254037844385,-0.5000000000000004,3
Abu Dhabi,United Arab Emirates,24.47,54.37,37.60071942446043,45.94964028776978,18.56043165467626,8.086330935251798,2.884892086330935,998.4244604316547,24.47,139,3.5270588235294156,-1.0,-1.8369701987210297e-16,0
Abuja,Nigeria,9.1758,7.1808,26.75611745513866,66.50244698205546,6.170962479608483,2.8685154975530183,2.9086460032626427,1013.6916802610115,9.1758,613,4.551612903225809,1.0,6.123233995736766e-17,0
Abuja,Nigeria,9.18,7.18,28.558273381294963,73.28057553956835,10.179136690647482,6.453237410071942,1.1654676258992807,1013.5323741007194,9.18,139,6.962239089184056,0.49999999999999994,-0.8660254037844387,1
Accra,Ghana,5.55,-0.22,28.015107913669063,74.5179856115108,20.5,6.223021582733813,1.0287769784172662,1013.4604316546763,5.55,139,3.707210626185958,0.49999999999999994,-0.8660254037844387,1
Accra,Ghana,5.55,-0.2167,27.096091205211728,84.32736156351791,12.294462540716612,2.24299674267101,1.5488599348534202,1012.2263843648209,5.55,614,4.499135944700463,0.8660254037844386,0.5000000000000001,0
Achelap,Palau,7.6333,134.6375,27.65,89.0,7.35,2.65,1.0,1010.5,7.6333,2,0.0,1.2246467991473532e-16,-1.0,1
Addis Ababa,Ethiopia,9.03,38.7,20.71323529411765,59.44117647058823,14.480882352941178,4.625,1.588235294117647,1019.625,9.03,136,5.891840607210629,0.49999999999999994,-0.8660254037844387,1
Addis Ababa,Ethiopia,9.0333,38.7,19.324959216965745,50.89559543230016,9.587765089722676,8.63915171288744,2.0440456769983686,1024.2398042414356,9.0333,613,3.963172043010754,0.8660254037844387,-0.4999999999999998,1
Addis Abeba,Ethiopia,9.03,38.7,19.8,59.0,3.6,4.0,1.0,1011.0,9.03,1,0.0,1.2246467991473532e-16,-1.0,1
Addis Abeba,Ethiopia,9.0333,38.7,18.2,64.0,7.9,4.5,1.0,1028.0,9.0333,1,0.0,1.2246467991473532e-16,-1.0,1
Adkip,Palau,7.36,134.51,26.505000000000003,89.65,6.279999999999999,1.0,1.0,1011.4,7.360000000000001,20,0.5210526315789465,0.49999999999999994,-0.8660254037844387,1
Aguaray,Paraguay,-19.85,-58.5167,23.299999999999997,68.32022471910112,7.104494382022471,0.0056179775280898875,1.1179775280898876,1008.9269662921348,19.85,178,9.397619047619049,0.8660254037844386,0.5000000000000001,0
