location_name,country,temperature_celsius,apparent_temp_c,air_quality_us-epa-index,ed_score,ed_category,anomaly_score,anomaly_methods
Astana,Kazakhstan,-11.9,-11.9,1,25.48906735709582,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-23.9,-23.9,1,33.379730472929374,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-15.8,-15.8,1,28.605514708193926,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-13.6,-13.6,1,24.274939106380934,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-22.8,-22.8,1,34.646050355025274,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Ulaanbaatar,Mongolia,-14.6,-14.6,2,31.470585902945498,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Ulaanbaatar,Mongolia,-21.9,-21.9,2,32.916666666666664,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Minsk,Belarus,-10.8,-10.8,1,24.002685891548843,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-18.9,-18.9,1,31.79808563541273,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Dhaka,Bangladesh,32.8,39.5,1,33.1,ED_MODERATE_SAFE,3,"iso_forest, lof, hot_but_safe"
Astana,Kazakhstan,-12.6,-12.6,1,25.270935052132106,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Chi-Chi-Erh,Russia,-25.8,-25.8,1,28.166666666666668,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Ulaanbaatar,Mongolia,-14.7,-14.7,1,25.72531224580054,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Tehran,Iran,2.1,2.1,3,18.537863768083795,ED_MODERATE_SAFE,3,"iso_forest, lof, out_of_range"
Ulaanbaatar,Mongolia,-24.9,-24.9,1,31.53110643232405,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-20.8,-20.8,1,33.312702999816224,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-12.7,-12.7,2,32.72889114902407,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Suva,Fiji Islands,79.3,81.3,1,45.0,ED_CAUTION,3,"iso_forest, lof, out_of_range"
Helsinki,Finland,-18.9,-18.9,1,27.080644365502824,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Chi-Chi-Erh,Russia,-24.8,-24.8,1,27.333333333333336,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-15.9,-15.9,1,31.980728354134577,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Ulaanbaatar,Mongolia,-13.7,-13.7,1,25.838430653822552,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
S-Chanf,Switzerland,-16.8,-16.8,1,28.872396908578814,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
