location_name,country,latitude,longitude,temperature_celsius,humidity,wind_kph,uv_index,apparent_temp_c,pressure_mb,air_quality_us-epa-index,air_quality_PM2.5,ed_score,ed_category,anomaly_score,anomaly_sources,is_anomaly
Ulaanbaatar,Mongolia,47.9167,106.9167,-23.4,77,8.3,0.0,-23.4,1046.0,5,228.29,100.0,ED_VERY_DANGEROUS,7,"stat_temperature_celsius, stat_apparent_temp_c, stat_pressure_mb, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-21.8,76,3.6,0.0,-21.8,1009.0,5,183.15,100.0,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-16.5,80,7.9,0.0,-16.5,1044.0,6,253.265,100.0,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_pressure_mb, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Moscow,Russia,55.7522,37.6156,-23.7,83,3.6,0.2,-23.7,1027.0,5,201.45,100.0,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-20.1,88,3.6,0.0,-20.1,1041.0,4,137.455,79.5074464348437,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_apparent_temp_c, stat_pressure_mb, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-20.0,77,3.6,0.0,-20.0,1026.0,5,152.44,96.89159159159159,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-21.9,93,3.6,0.0,-21.9,1046.0,4,148.185,81.34664559185106,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_apparent_temp_c, stat_pressure_mb, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-19.8,81,6.5,0.0,-19.8,1040.0,5,166.315,100.0,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_pressure_mb, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-17.7,75,4.7,0.0,-17.7,1041.0,5,163.17,97.29714714714714,ED_VERY_DANGEROUS,6,"stat_temperature_celsius, stat_pressure_mb, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,9.2,76,6.8,6.0,9.4,1017.0,6,1406.3,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
