location_name,country,latitude,longitude,ed_score,cluster,cluster_mean_ed,regional_residual
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.37,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Manama,Bahrain,26.2361,50.5831,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait,Kuwait,29.37,47.98,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Abu Dhabi,United Arab Emirates,24.4667,54.3667,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Manama,Bahrain,26.2361,50.5831,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Manama,Bahrain,26.2361,50.5831,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Kuwait City,Kuwait,29.3667,47.96,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,100.0,0,15.775300887336796,84.2246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,99.5,0,15.775300887336796,83.7246991126632
New Delhi,India,28.6,77.2,99.4125,0,15.775300887336796,83.6371991126632
Riyadh,Saudi Arabia,24.6408,46.7728,99.3701923076923,0,15.775300887336796,83.59489142035551
Riyadh,Saudi Arabia,24.6408,46.7728,99.33333333333334,0,15.775300887336796,83.55803244599655
Riyadh,Saudi Arabia,24.6408,46.7728,99.33333333333333,0,15.775300887336796,83.55803244599653
Kuwait City,Kuwait,29.3667,47.96,99.28557692307693,0,15.775300887336796,83.51027603574013
New Delhi,India,28.6,77.2,99.21634615384616,0,15.775300887336796,83.44104526650936
Kuwait City,Kuwait,29.3667,47.96,99.04711538461538,0,15.775300887336796,83.27181449727858
Kuwait City,Kuwait,29.3667,47.96,98.97788461538461,0,15.775300887336796,83.20258372804781
Kuwait City,Kuwait,29.3667,47.96,98.9,0,15.775300887336796,83.12469911266321
Riyadh,Saudi Arabia,24.6408,46.7728,98.8701923076923,0,15.775300887336796,83.09489142035551
Riyadh,Saudi Arabia,24.6408,46.7728,98.8,0,15.775300887336796,83.0246991126632
Kuwait City,Kuwait,29.3667,47.96,98.78557692307693,0,15.775300887336796,83.01027603574013
Riyadh,Saudi Arabia,24.6408,46.7728,98.7548076923077,0,15.775300887336796,82.9795068049709
Riyadh,Saudi Arabia,24.6408,46.7728,98.7548076923077,0,15.775300887336796,82.9795068049709
Riyadh,Saudi Arabia,24.6408,46.7728,98.60096153846153,0,15.775300887336796,82.82566065112474
Abu Dhabi,United Arab Emirates,24.4667,54.3667,98.54711538461538,0,15.775300887336796,82.77181449727858
Riyadh,Saudi Arabia,24.6408,46.7728,98.52403846153845,0,15.775300887336796,82.74873757420166
New Delhi,India,28.6,77.2,98.43173076923077,0,15.775300887336796,82.65642988189397
Riyadh,Saudi Arabia,24.6408,46.7728,98.36666666666667,0,15.775300887336796,82.59136577932988
Riyadh,Saudi Arabia,24.6408,46.7728,98.3,0,15.775300887336796,82.5246991126632
Abu Dhabi,United Arab Emirates,24.4667,54.3667,98.29326923076923,0,15.775300887336796,82.51796834343243
Hanoi,Vietnam,21.0333,105.85,98.22307692307692,0,15.775300887336796,82.44777603574012
Riyadh,Saudi Arabia,24.6408,46.7728,98.2,0,15.775300887336796,82.4246991126632
Riyadh,Saudi Arabia,24.6408,46.7728,98.06666666666668,0,15.775300887336796,82.29136577932988
Kuwait City,Kuwait,29.3667,47.96,97.93173076923077,0,15.775300887336796,82.15642988189397
New Delhi,India,28.6,77.2,97.6548076923077,0,15.775300887336796,81.8795068049709
Kuwait City,Kuwait,29.3667,47.96,97.61634615384617,0,15.775300887336796,81.84104526650937
Riyadh,Saudi Arabia,24.6408,46.7728,97.5,0,15.775300887336796,81.7246991126632
Kuwait City,Kuwait,29.3667,47.96,97.40096153846153,0,15.775300887336796,81.62566065112473
Kuwait City,Kuwait,29.3667,47.96,97.2548076923077,0,15.775300887336796,81.4795068049709
Riyadh,Saudi Arabia,24.6408,46.7728,97.23333333333335,0,15.775300887336796,81.45803244599655
Riyadh,Saudi Arabia,24.6408,46.7728,97.22916666666667,0,15.775300887336796,81.45386577932987
Kuwait City,Kuwait,29.3667,47.96,97.0625,0,15.775300887336796,81.2871991126632
Manama,Bahrain,26.2361,50.5831,96.90865384615384,0,15.775300887336796,81.13335295881704
Riyadh,Saudi Arabia,24.6408,46.7728,96.83333333333333,0,15.775300887336796,81.05803244599653
Kuwait City,Kuwait,29.3667,47.96,96.80096153846154,0,15.775300887336796,81.02566065112474
Kuwait City,Kuwait,29.3667,47.96,96.77019230769231,0,15.775300887336796,80.99489142035551
Kuwait City,Kuwait,29.3667,47.96,96.70096153846153,0,15.775300887336796,80.92566065112473
Kuwait City,Kuwait,29.37,47.96,96.63942307692308,0,15.775300887336796,80.86412218958628
Abu Dhabi,United Arab Emirates,24.4667,54.3667,96.4625,0,15.775300887336796,80.68719911266321
