location_name,cluster,air_quality_PM2.5,temperature_celsius,air_quality_us-epa-index,uv_index
'S Gravenjansdijk,2,19.496241299303943,20.0,1.0,3.0
'S Gravenjansdijk,4,19.496241299303943,20.0,1.0,3.0
'S Gravenjansdyk,2,2.4583333333333335,20.0,1.0,3.0
'S Gravenstaffel,2,4.675,20.0,1.0,3.0
'S-Gravenbrakel,4,11.305854267522918,20.0,1.0,3.0
-Kingdom,5,3.0,20.0,1.0,3.0
Aakip,1,4.3,20.0,1.0,3.0
Aba,1,4.6,20.0,1.0,3.0
Abaer,2,2.0,20.0,1.0,3.0
Abazu,1,6.333333333333333,20.0,1.0,3.0
Abu Dhabi,3,56.49156250101455,20.0,1.0,3.0
Abu Dhabi,0,56.49156250101455,20.0,1.0,3.0
Abuja,0,49.70354388247145,20.0,1.0,3.0
Abuja,1,49.70354388247145,20.0,1.0,3.0
Accra,1,16.931580345285525,20.0,1.0,3.0
Accra,0,16.931580345285525,20.0,1.0,3.0
Achelap,1,1.8,20.0,1.0,3.0
Addis Ababa,1,26.32491321685954,20.0,1.0,3.0
Addis Ababa,1,26.32491321685954,20.0,1.0,3.0
Addis Abeba,1,10.2,20.0,1.0,3.0
Addis Abeba,1,10.2,20.0,1.0,3.0
Adkip,1,0.52,20.0,1.0,3.0
Aguaray,0,10.142522471910112,20.0,1.0,3.0
Airai,1,7.1158598382749325,20.0,1.0,3.0
Airai,0,7.1158598382749325,20.0,1.0,3.0
Algiers,2,18.44260000101725,20.0,1.0,3.0
Algiers,4,18.44260000101725,20.0,1.0,3.0
Amman,5,22.06690571175787,20.0,1.0,3.0
Amman,2,22.06690571175787,20.0,1.0,3.0
Amsterdam,2,17.01575797910386,20.0,1.0,3.0
Amsterdam,4,17.01575797910386,20.0,1.0,3.0
Andorra La Vella,4,4.712855053952399,20.0,1.0,3.0
Andorra La Vella,2,4.712855053952399,20.0,1.0,3.0
Ankara,4,25.72947999987284,20.0,1.0,3.0
Ankara,2,25.72947999987284,20.0,1.0,3.0
Antananarivo,0,7.035039893743839,20.0,1.0,3.0
Antananarivo,0,7.035039893743839,20.0,1.0,3.0
Apia,1,5.578394102132352,20.0,1.0,3.0
Apia,1,5.578394102132352,20.0,1.0,3.0
Ar Riyadh,5,22.3,20.0,1.0,3.0
Ashgabat,5,19.479014649168946,20.0,1.0,3.0
Ashgabat,4,19.479014649168946,20.0,1.0,3.0
Asmara,5,19.53090305394227,20.0,1.0,3.0
Asmara,5,19.53090305394227,20.0,1.0,3.0
Astana,2,11.832303594444467,20.0,1.0,3.0
Astana,4,11.832303594444467,20.0,1.0,3.0
Asuncion,1,4.25,20.0,1.0,3.0
Asuncion,1,4.25,20.0,1.0,3.0
Athens,2,17.880120321365602,20.0,1.0,3.0
Athens,5,17.880120321365602,20.0,1.0,3.0
Aurora,0,14.245716312056738,20.0,1.0,3.0
Aurora,0,14.245716312056738,20.0,1.0,3.0
Bafoussam,1,1.7666666666666666,20.0,1.0,3.0
Baghdad,2,36.41626161613312,20.0,1.0,3.0
Baghdad,5,36.41626161613312,20.0,1.0,3.0
Baku,4,16.651491344936996,20.0,1.0,3.0
Baku,2,16.651491344936996,20.0,1.0,3.0
Bali,1,5.3,20.0,1.0,3.0
Bali,1,5.3,20.0,1.0,3.0
Bamako,5,29.361637817260902,20.0,1.0,3.0
Ban Lom,1,32.80498296836983,20.0,1.0,3.0
Ban Lom,3,32.80498296836983,20.0,1.0,3.0
Bandar Seri Begawan,0,14.480173333714804,20.0,1.0,3.0
Bandar Seri Begawan,3,14.480173333714804,20.0,1.0,3.0
